                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                      1,                0.66027,                 1.0181,                 1.2629,                0.93616,                0.97255,                0.88386,                0.97743,                 0.8848,                0.97282,                 0.8841,                0.97769,                0.86506,                0.42575,                0.54636,                  1.064,                0.81289,             0.00065517,             0.00065517,             0.00065517,             1.7124e+09,                    102
                      2,                0.49633,                0.60367,                0.53941,                0.85802,                0.98906,                0.98679,                0.99303,                0.90451,                0.98915,                0.98679,                0.99314,                 0.8854,                0.41784,                0.50559,                0.61998,                 0.8261,              0.0013088,              0.0013088,              0.0013088,             1.7124e+09,                    136
                      3,                0.47124,                0.55682,                0.48654,                0.85294,                0.99329,                0.98948,                0.99265,                0.91246,                0.99264,                0.98909,                0.99231,                0.86219,                0.39575,                0.53252,                0.51397,                0.82273,              0.0019491,              0.0019491,              0.0019491,             1.7124e+09,                    255
                      4,                0.45355,                0.52955,                0.44722,                0.84651,                0.99169,                0.99197,                0.99323,                0.92308,                 0.9912,                0.99148,                0.99312,                0.88425,                0.34463,                 0.4348,                0.43064,                0.81523,              0.0019406,              0.0019406,              0.0019406,             1.7124e+09,                    372
                      5,                0.43588,                0.51113,                 0.4139,                0.84505,                0.99095,                0.99169,                0.99231,                0.93067,                0.99095,                0.99169,                0.99227,                0.88247,                0.34362,                0.39925,                0.39886,                0.81431,              0.0019406,              0.0019406,              0.0019406,             1.7124e+09,                    489
                      6,                0.42348,                0.48695,                0.39436,                0.84154,                0.99183,                0.99169,                0.99324,                0.93171,                0.99183,                0.99169,                0.99346,                0.89284,                0.34345,                0.41969,                0.32846,                0.81801,              0.0019208,              0.0019208,              0.0019208,             1.7124e+09,                    606
                      7,                0.41109,                0.47712,                0.37306,                0.83961,                 0.9937,                0.98875,                0.99328,                0.92595,                0.99348,                0.98851,                0.99329,                0.89463,                0.34376,                 0.4086,                 0.3345,                0.81592,               0.001901,               0.001901,               0.001901,             1.7124e+09,                    725
                      8,                0.39973,                  0.465,                0.36015,                 0.8338,                0.99133,                0.98997,                 0.9928,                0.94367,                0.99133,                0.98997,                 0.9928,                0.90732,                0.31396,                0.40538,                0.31399,                0.81115,              0.0018812,              0.0018812,              0.0018812,             1.7124e+09,                    844
                      9,                0.38432,                0.45638,                0.34358,                0.83102,                0.99215,                 0.9895,                0.99325,                0.94989,                0.99211,                0.98875,                0.99333,                0.89883,                0.29414,                 0.3666,                 0.2876,                0.80434,              0.0018614,              0.0018614,              0.0018614,             1.7124e+09,                    961
                     10,                0.38774,                0.45831,                0.34152,                0.83311,                0.99407,                0.98875,                0.99335,                0.95451,                0.99407,                0.98875,                0.99358,                0.90016,                0.27854,                0.36068,                0.28502,                0.80344,              0.0018416,              0.0018416,              0.0018416,             1.7124e+09,                   1078
