epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.308,1.65822,4.02075,2.72536,1.33547,1,0.33059,0.5094,0.32216,1,0.33059,0.48583,0.24074,1.28942,3.55705,2.51097,1.04091,0.00028,0.00028,0.00028
2,255.318,1.16893,2.53127,0.95537,1.02713,1,0.43004,0.77573,0.55006,1,0.43004,0.76404,0.41898,1.07267,2.76342,2.2309,0.99019,0.000574258,0.000574258,0.000574258
3,372.635,1.02495,2.1356,0.82955,1.0103,0.99827,0.48108,0.78971,0.60386,0.99827,0.48108,0.77229,0.44543,1.05721,2.75003,2.13217,1.00004,0.000862576,0.000862576,0.000862576
4,490.131,0.94334,1.92794,0.7462,0.992,0.99667,0.74963,0.93601,0.67584,0.98557,0.74129,0.92413,0.56071,1.01181,2.19766,1.63906,0.97086,0.00114495,0.00114495,0.00114495
5,616.442,0.93073,1.8282,0.69628,0.9632,0.96333,0.85518,0.98032,0.69772,0.95769,0.85017,0.96958,0.58751,0.98669,2.01418,1.29021,0.99632,0.00142139,0.00142139,0.00142139
6,743.528,0.91235,1.81437,0.69085,0.97456,0.95739,0.95642,0.98893,0.70271,0.95488,0.95392,0.9793,0.63276,0.93251,1.94326,1.26154,0.97826,0.00169189,0.00169189,0.00169189
7,869.605,0.88745,1.72517,0.65834,0.96673,0.93513,0.92154,0.98384,0.73932,0.93174,0.9182,0.97369,0.63095,0.86204,1.95063,0.91345,0.94746,0.0018812,0.0018812,0.0018812
8,995.113,0.86464,1.65516,0.6348,0.95268,0.97873,0.98247,0.99151,0.76043,0.96446,0.97162,0.97342,0.63444,0.86137,1.69414,0.72935,0.95211,0.0018614,0.0018614,0.0018614
9,1121.12,0.87182,1.66391,0.6167,0.97025,0.97263,0.97893,0.99156,0.77022,0.96664,0.96995,0.98033,0.64639,0.8291,1.72911,0.7153,0.93475,0.0018416,0.0018416,0.0018416
10,1252.4,0.80992,1.57167,0.58243,0.93633,0.97674,0.98998,0.99193,0.76321,0.97262,0.98581,0.98158,0.6786,0.78906,1.53758,0.58452,0.94445,0.0018218,0.0018218,0.0018218
11,1373.62,0.85916,1.58778,0.58032,0.94224,0.99163,0.99332,0.99054,0.77845,0.98686,0.98831,0.97753,0.68211,0.82402,1.53746,0.58662,0.94151,0.001802,0.001802,0.001802
12,1496.28,0.82843,1.56691,0.57383,0.948,0.98979,0.99249,0.9909,0.76938,0.98483,0.98748,0.9804,0.68231,0.80986,1.48322,0.5904,0.93353,0.0017822,0.0017822,0.0017822
13,1615.83,0.80061,1.54141,0.55753,0.93315,0.98978,0.99165,0.98839,0.78247,0.98566,0.98748,0.97799,0.69208,0.7897,1.42931,0.53228,0.9407,0.0017624,0.0017624,0.0017624
14,1734.38,0.79269,1.51064,0.54921,0.93652,0.98987,0.99165,0.99193,0.78854,0.98487,0.98664,0.97814,0.68522,0.76203,1.43859,0.51824,0.94089,0.0017426,0.0017426,0.0017426
15,1857.63,0.79559,1.52019,0.53956,0.93807,0.98905,0.99082,0.99155,0.78574,0.98406,0.98581,0.97993,0.70076,0.76611,1.37521,0.52729,0.92903,0.0017228,0.0017228,0.0017228
16,1979.11,0.76178,1.429,0.51523,0.91761,0.98988,0.99165,0.99099,0.77071,0.98488,0.98664,0.9769,0.69328,0.73849,1.40423,0.4848,0.92136,0.001703,0.001703,0.001703
17,2100.54,0.75916,1.44205,0.51005,0.92086,0.99066,0.99249,0.99233,0.79367,0.98733,0.98915,0.98382,0.71705,0.74761,1.35869,0.52155,0.91633,0.0016832,0.0016832,0.0016832
18,2220.01,0.76445,1.43184,0.50612,0.93097,0.98969,0.99165,0.98897,0.804,0.98553,0.98748,0.97794,0.69842,0.73116,1.39711,0.49291,0.92121,0.0016634,0.0016634,0.0016634
19,2336.49,0.78546,1.46108,0.50519,0.93449,0.99067,0.99249,0.99253,0.80261,0.98734,0.98915,0.986,0.71897,0.74689,1.3494,0.47335,0.91812,0.0016436,0.0016436,0.0016436
20,2454.93,0.7804,1.48288,0.4993,0.92155,0.99064,0.99249,0.99325,0.80374,0.98654,0.98831,0.98162,0.70465,0.73311,1.42681,0.47718,0.92199,0.0016238,0.0016238,0.0016238
21,2585.84,0.73303,1.37914,0.47841,0.91625,0.99153,0.99332,0.99197,0.80178,0.98403,0.98581,0.97865,0.70614,0.74433,1.40844,0.46396,0.93048,0.001604,0.001604,0.001604
22,2712.75,0.76142,1.41921,0.48255,0.91751,0.99234,0.99416,0.99363,0.80303,0.98651,0.98831,0.98677,0.71462,0.77291,1.36036,0.47377,0.92473,0.0015842,0.0015842,0.0015842
23,2835.4,0.73495,1.38863,0.475,0.91456,0.99069,0.99249,0.99349,0.79356,0.98569,0.98748,0.97965,0.71344,0.76035,1.34938,0.46205,0.92742,0.0015644,0.0015644,0.0015644
24,2956.76,0.7233,1.35571,0.46857,0.91311,0.98902,0.99082,0.99242,0.79166,0.98486,0.98664,0.97696,0.70834,0.77963,1.39162,0.43831,0.93005,0.0015446,0.0015446,0.0015446
25,3074.6,0.72763,1.36156,0.46215,0.91562,0.98988,0.99165,0.99243,0.80436,0.98572,0.98748,0.9813,0.71985,0.74275,1.36579,0.44759,0.91347,0.0015248,0.0015248,0.0015248
26,3190.56,0.71963,1.35997,0.45546,0.9231,0.98987,0.99165,0.99308,0.7906,0.98654,0.98831,0.98224,0.70336,0.77266,1.41106,0.44604,0.92976,0.001505,0.001505,0.001505
27,3307.91,0.7303,1.37969,0.45412,0.91753,0.98988,0.99165,0.9929,0.78609,0.98582,0.98657,0.97814,0.7007,0.74854,1.35429,0.44461,0.92055,0.0014852,0.0014852,0.0014852
28,3425.13,0.71064,1.33015,0.44949,0.90604,0.98735,0.99165,0.99151,0.79738,0.98426,0.98664,0.97695,0.72363,0.72752,1.31411,0.43772,0.91833,0.0014654,0.0014654,0.0014654
