                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6737,                 1.0219,                 1.2796,                0.94216,                0.99149,                0.94007,                0.98255,                0.88512,                0.99149,                0.94007,                0.98284,                0.85603,                0.43949,                0.54434,                 1.3296,                0.81392,             0.00065517,             0.00065517,             0.00065517
                      2,                0.49643,                0.58504,                0.54077,                 0.8576,                 0.9888,                0.98508,                0.99245,                 0.9102,                0.98904,                0.98533,                0.99264,                0.88345,                  0.411,                0.50075,                0.64974,                 0.8252,              0.0013088,              0.0013088,              0.0013088
                      3,                0.48724,                0.57618,                0.49785,                0.85655,                 0.9906,                0.99071,                0.99214,                0.90298,                 0.9906,                0.99071,                0.99174,                0.86595,                 0.3885,                0.48035,                0.55081,                0.82356,              0.0019491,              0.0019491,              0.0019491
                      4,                0.45707,                0.56244,                0.45565,                0.85052,                0.99001,                 0.9912,                 0.9935,                0.92541,                 0.9905,                0.99169,                0.99362,                0.81478,                0.34161,                0.98479,                0.41194,                0.81394,              0.0019406,              0.0019406,              0.0019406
                      5,                0.44062,                0.53506,                0.42366,                0.84423,                0.99455,                0.98899,                0.99346,                0.92818,                0.99455,                0.98899,                0.99331,                0.87851,                0.34582,                0.42387,                0.36272,                0.81626,              0.0019208,              0.0019208,              0.0019208
                      6,                0.43667,                0.48938,                0.40276,                0.84326,                0.99125,                0.99169,                0.99228,                0.93383,                0.99101,                0.99144,                0.99243,                0.88252,                0.31071,                0.40566,                0.32602,                0.81063,               0.001901,               0.001901,               0.001901
                      7,                 0.4066,                0.47264,                0.37662,                0.83837,                0.99032,                0.99266,                0.99298,                0.93652,                0.99056,                0.99291,                 0.9931,                 0.8998,                0.31932,                 0.4212,                0.32989,                0.81153,              0.0018812,              0.0018812,              0.0018812
                      8,                0.42293,                0.49865,                0.37129,                0.83908,                0.99118,                0.99291,                 0.9929,                0.94273,                0.99134,                0.99291,                0.99285,                0.89606,                0.32795,                0.37326,                0.30434,                0.81266,              0.0018614,              0.0018614,              0.0018614
                      9,                0.39995,                0.45643,                0.35413,                0.83737,                0.98918,                0.98679,                 0.9925,                0.93774,                0.98918,                0.98679,                0.99246,                0.88904,                0.29935,                0.36623,                0.29504,                0.80874,              0.0018416,              0.0018416,              0.0018416
                     10,                0.38933,                0.45666,                0.34231,                0.83087,                0.99361,                0.98885,                 0.9931,                0.94993,                 0.9912,                0.99193,                0.99317,                0.90043,                 0.3091,                0.40868,                 0.2691,                0.80715,              0.0018218,              0.0018218,              0.0018218
                     11,                0.37869,                0.44894,                0.32805,                0.82951,                0.99544,                0.98679,                0.99317,                0.94799,                0.99544,                0.98679,                0.99331,                0.89979,                0.29175,                0.37396,                0.25928,                0.80354,               0.001802,               0.001802,               0.001802
                     12,                0.37333,                0.43064,                0.32424,                0.82992,                0.99336,                0.98716,                0.99343,                0.94781,                 0.9936,                 0.9874,                0.99356,                0.91853,                0.31203,                0.38533,                0.28068,                0.80848,              0.0017822,              0.0017822,              0.0017822
